,0,1,2
0,0.0,0.0,0.0
1,667.0,0.0,6.0
2,669.0,0.0,4.0
3,673.0,0.0,5.0
4,678.0,0.0,4.0
5,680.0,0.0,4.0
6,681.0,0.0,4.0
7,682.0,0.0,5.0
8,684.0,0.0,3.0
9,689.0,0.0,4.0
10,694.0,0.0,4.0
11,695.0,0.0,4.0
12,697.0,0.0,4.0
13,698.0,0.0,4.0
14,700.0,0.0,6.0
15,701.0,0.0,4.0
16,704.0,0.0,5.0
17,705.0,0.0,3.0
18,715.0,0.0,5.0
19,716.0,0.0,3.0
20,718.0,0.0,6.0
21,723.0,0.0,4.0
22,724.0,0.0,5.0
23,725.0,0.0,5.0
24,729.0,0.0,4.0
25,730.0,0.0,4.0
26,731.0,0.0,4.0
27,733.0,0.0,4.0
28,736.0,0.0,4.0
29,737.0,0.0,5.0
30,739.0,0.0,5.0
31,740.0,0.0,4.0
32,744.0,0.0,6.0
33,745.0,0.0,4.0
34,746.0,0.0,5.0
35,747.0,0.0,5.0
36,752.0,0.0,4.0
37,762.0,0.0,4.0
38,768.0,0.0,4.0
39,770.0,0.0,4.0
40,771.0,0.0,4.0
41,773.0,0.0,4.0
42,774.0,0.0,4.0
43,778.0,0.0,4.0
44,785.0,0.0,5.0
45,786.0,0.0,4.0
46,787.0,0.0,4.0
47,790.0,0.0,5.0
48,792.0,0.0,5.0
49,793.0,0.0,4.0
50,794.0,0.0,5.0
51,795.0,0.0,4.0
52,804.0,0.0,4.0
53,806.0,0.0,5.0
54,812.0,0.0,5.0
55,813.0,0.0,4.0
56,816.0,0.0,5.0
57,819.0,0.0,4.0
58,821.0,0.0,3.0
59,826.0,0.0,4.0
60,829.0,0.0,5.0
61,831.0,0.0,5.0
62,837.0,0.0,4.0
63,838.0,0.0,3.0
64,840.0,0.0,4.0
65,842.0,0.0,4.0
66,844.0,0.0,5.0
67,845.0,0.0,5.0
68,863.0,0.0,5.0
69,866.0,0.0,5.0
70,869.0,0.0,4.0
71,872.0,0.0,5.0
72,873.0,0.0,4.0
73,878.0,0.0,4.0
74,881.0,0.0,4.0
75,883.0,0.0,4.0
76,886.0,0.0,4.0
77,891.0,0.0,4.0
78,893.0,0.0,5.0
79,895.0,0.0,4.0
80,900.0,0.0,4.0
81,909.0,0.0,4.0
82,910.0,0.0,4.0
83,913.0,0.0,3.0
84,922.0,0.0,3.0
85,938.0,0.0,5.0
86,947.0,0.0,5.0
87,948.0,0.0,5.0
88,955.0,0.0,4.0
89,959.0,0.0,5.0
90,961.0,0.0,5.0
91,969.0,0.0,3.0
92,977.0,0.0,5.0
93,981.0,0.0,4.0
94,983.0,0.0,5.0
95,984.0,0.0,4.0
96,985.0,0.0,4.0
97,986.0,0.0,4.0
98,988.0,0.0,5.0
99,989.0,0.0,5.0
100,994.0,0.0,5.0
101,998.0,0.0,4.0
102,1002.0,0.0,5.0
103,1005.0,0.0,4.0
104,1006.0,0.0,4.0
105,1008.0,0.0,5.0
106,1017.0,0.0,4.0
107,1018.0,0.0,4.0
108,1020.0,0.0,4.0
109,1022.0,0.0,3.0
110,1023.0,0.0,4.0
111,1029.0,0.0,4.0
112,1032.0,0.0,3.0
113,1037.0,0.0,4.0
114,1038.0,0.0,4.0
115,1041.0,0.0,4.0
116,1043.0,0.0,5.0
117,1047.0,0.0,5.0
118,1048.0,0.0,4.0
119,1049.0,0.0,4.0
120,1054.0,0.0,5.0
121,1058.0,0.0,4.0
122,1062.0,0.0,4.0
123,1063.0,0.0,5.0
124,1065.0,0.0,5.0
125,1068.0,0.0,5.0
126,1076.0,0.0,3.0
127,1080.0,0.0,3.0
128,1084.0,0.0,4.0
129,1088.0,0.0,3.0
130,1091.0,0.0,4.0
131,1092.0,0.0,5.0
132,1094.0,0.0,5.0
133,1095.0,0.0,4.0
134,1096.0,0.0,4.0
135,1098.0,0.0,6.0
136,1100.0,0.0,4.0
137,1102.0,0.0,4.0
138,1106.0,0.0,5.0
139,1108.0,0.0,4.0
140,1109.0,0.0,4.0
141,1111.0,0.0,4.0
142,1113.0,0.0,5.0
143,1115.0,0.0,4.0
144,1120.0,0.0,4.0
145,1121.0,0.0,4.0
146,1123.0,0.0,5.0
147,1124.0,0.0,5.0
148,1125.0,0.0,5.0
149,1126.0,0.0,4.0
150,1128.0,0.0,5.0
151,1132.0,0.0,4.0
152,1134.0,0.0,4.0
153,1136.0,0.0,4.0
154,1137.0,0.0,4.0
155,1143.0,0.0,4.0
156,1146.0,0.0,4.0
157,1147.0,0.0,4.0
158,1152.0,0.0,4.0
159,1153.0,0.0,4.0
160,1159.0,0.0,5.0
161,1160.0,0.0,5.0
162,1161.0,0.0,4.0
163,1164.0,0.0,4.0
164,1167.0,0.0,4.0
165,1171.0,0.0,4.0
166,1172.0,0.0,4.0
167,1176.0,0.0,5.0
168,1177.0,0.0,4.0
169,1179.0,0.0,5.0
170,1181.0,0.0,3.0
171,1183.0,0.0,4.0
172,1185.0,0.0,5.0
173,1188.0,0.0,4.0
174,1190.0,0.0,5.0
175,1192.0,0.0,5.0
176,1195.0,0.0,5.0
177,1198.0,0.0,5.0
178,1203.0,0.0,4.0
179,1205.0,0.0,3.0
180,1206.0,0.0,4.0
181,1209.0,0.0,3.0
182,1210.0,0.0,5.0
183,1218.0,0.0,3.0
184,1223.0,0.0,4.0
185,1224.0,0.0,5.0
186,1238.0,0.0,5.0
187,1240.0,0.0,4.0
188,1245.0,0.0,5.0
189,1249.0,0.0,4.0
190,1256.0,0.0,4.0
191,1260.0,0.0,5.0
192,1261.0,0.0,4.0
193,1264.0,0.0,4.0
194,1267.0,0.0,4.0
195,1271.0,0.0,4.0
196,1277.0,0.0,4.0
197,1278.0,0.0,5.0
198,1279.0,0.0,4.0
199,1282.0,0.0,4.0
200,1283.0,0.0,5.0
201,1285.0,0.0,4.0
202,1286.0,0.0,3.0
203,1287.0,0.0,5.0
204,1289.0,0.0,5.0
205,1295.0,0.0,5.0
206,1299.0,0.0,4.0
207,1300.0,0.0,4.0
208,1301.0,0.0,4.0
209,1308.0,0.0,5.0
210,1309.0,0.0,4.0
211,1310.0,0.0,4.0
212,1314.0,0.0,5.0
213,1317.0,0.0,5.0
214,1319.0,0.0,4.0
215,1324.0,0.0,6.0
216,1330.0,0.0,3.0
217,1331.0,0.0,3.0
218,1334.0,0.0,4.0
219,1335.0,0.0,6.0
220,1340.0,0.0,4.0
221,1341.0,0.0,4.0
222,1343.0,0.0,4.0
223,1344.0,0.0,5.0
224,1346.0,0.0,3.0
225,1350.0,0.0,4.0
