,0,1,2,3,4,5
0,0.0,13.0,21.0,1.0,1.0,0.0
1,3.0,13.0,21.0,1.0,1.0,0.0
2,14.0,13.0,21.0,1.0,1.0,0.0
3,15.0,13.0,21.0,1.0,1.0,0.0
4,17.0,13.0,21.0,1.0,1.0,0.0
5,19.0,13.0,21.0,1.0,1.0,0.0
6,21.0,13.0,21.0,1.0,1.0,0.0
7,23.0,13.0,22.0,1.0,1.0,0.0
8,28.0,13.0,23.0,1.0,1.0,0.0
9,29.0,13.0,21.0,1.0,1.0,0.0
10,30.0,13.0,20.0,1.0,1.0,0.0
11,34.0,13.0,21.0,1.0,1.0,0.0
12,35.0,13.0,21.0,1.0,1.0,0.0
13,36.0,13.0,22.0,1.0,1.0,0.0
14,40.0,13.0,21.0,1.0,1.0,0.0
15,44.0,13.0,20.0,1.0,1.0,0.0
16,48.0,13.0,21.0,1.0,1.0,0.0
17,50.0,13.0,20.0,1.0,1.0,0.0
18,56.0,13.0,21.0,1.0,1.0,0.0
19,57.0,13.0,22.0,1.0,1.0,0.0
20,60.0,13.0,21.0,1.0,1.0,0.0
21,63.0,13.0,22.0,1.0,1.0,0.0
22,65.0,13.0,20.0,1.0,1.0,0.0
23,70.0,13.0,22.0,1.0,1.0,0.0
24,71.0,13.0,21.0,1.0,1.0,0.0
25,73.0,13.0,21.0,1.0,1.0,0.0
26,77.0,13.0,21.0,1.0,1.0,0.0
27,78.0,13.0,23.0,1.0,1.0,0.0
28,81.0,13.0,23.0,1.0,1.0,0.0
29,84.0,13.0,20.0,1.0,1.0,0.0
30,86.0,13.0,19.0,1.0,1.0,0.0
31,97.0,13.0,21.0,1.0,1.0,0.0
32,101.0,13.0,19.0,1.0,1.0,0.0
33,102.0,13.0,21.0,1.0,1.0,0.0
34,109.0,13.0,21.0,1.0,1.0,0.0
35,112.0,13.0,21.0,1.0,1.0,0.0
36,118.0,13.0,21.0,1.0,1.0,0.0
37,119.0,13.0,21.0,1.0,1.0,0.0
38,124.0,13.0,22.0,1.0,1.0,0.0
39,130.0,13.0,21.0,1.0,1.0,0.0
40,134.0,13.0,19.0,1.0,1.0,0.0
41,135.0,13.0,20.0,1.0,1.0,0.0
42,138.0,13.0,21.0,1.0,1.0,0.0
43,147.0,13.0,21.0,1.0,1.0,0.0
44,151.0,13.0,22.0,1.0,1.0,0.0
45,152.0,13.0,22.0,1.0,1.0,0.0
46,155.0,13.0,21.0,1.0,1.0,0.0
47,157.0,13.0,22.0,1.0,1.0,0.0
48,161.0,13.0,21.0,1.0,1.0,0.0
49,162.0,13.0,21.0,1.0,1.0,0.0
50,164.0,13.0,20.0,1.0,1.0,0.0
51,167.0,13.0,21.0,1.0,1.0,0.0
52,168.0,13.0,21.0,1.0,1.0,0.0
53,169.0,13.0,23.0,1.0,1.0,0.0
54,171.0,13.0,20.0,1.0,1.0,0.0
55,172.0,13.0,20.0,1.0,1.0,0.0
56,179.0,13.0,21.0,1.0,1.0,0.0
57,180.0,13.0,22.0,1.0,1.0,0.0
58,188.0,13.0,20.0,1.0,1.0,0.0
59,189.0,13.0,22.0,1.0,1.0,0.0
60,190.0,13.0,22.0,1.0,1.0,0.0
61,193.0,13.0,21.0,1.0,1.0,0.0
62,198.0,13.0,21.0,1.0,1.0,0.0
63,201.0,13.0,21.0,1.0,1.0,0.0
64,204.0,13.0,21.0,1.0,1.0,0.0
65,205.0,13.0,22.0,1.0,1.0,0.0
66,209.0,13.0,21.0,1.0,1.0,0.0
67,210.0,13.0,21.0,1.0,1.0,0.0
68,212.0,13.0,22.0,1.0,1.0,0.0
69,217.0,13.0,22.0,1.0,1.0,0.0
70,218.0,13.0,23.0,1.0,1.0,0.0
71,230.0,13.0,22.0,1.0,1.0,0.0
72,233.0,13.0,20.0,1.0,1.0,0.0
73,245.0,13.0,20.0,1.0,1.0,0.0
74,246.0,13.0,21.0,1.0,1.0,0.0
75,249.0,13.0,22.0,1.0,1.0,0.0
76,251.0,13.0,22.0,1.0,1.0,0.0
77,252.0,13.0,21.0,1.0,1.0,0.0
78,254.0,13.0,22.0,1.0,1.0,0.0
79,258.0,13.0,20.0,1.0,1.0,0.0
80,260.0,13.0,20.0,1.0,1.0,0.0
81,273.0,13.0,21.0,1.0,1.0,0.0
82,281.0,13.0,21.0,1.0,1.0,0.0
83,283.0,13.0,21.0,1.0,1.0,0.0
84,284.0,13.0,20.0,1.0,1.0,0.0
85,288.0,13.0,21.0,1.0,1.0,0.0
86,294.0,13.0,19.0,1.0,1.0,0.0
87,295.0,13.0,21.0,1.0,1.0,0.0
88,297.0,13.0,22.0,1.0,1.0,0.0
89,302.0,13.0,21.0,1.0,1.0,0.0
90,304.0,13.0,21.0,1.0,1.0,0.0
91,306.0,13.0,21.0,1.0,1.0,0.0
92,311.0,13.0,23.0,1.0,1.0,0.0
93,312.0,13.0,21.0,1.0,1.0,0.0
94,315.0,13.0,22.0,1.0,1.0,0.0
95,317.0,13.0,21.0,1.0,1.0,0.0
96,318.0,13.0,22.0,1.0,1.0,0.0
97,320.0,13.0,20.0,1.0,1.0,0.0
98,323.0,13.0,21.0,1.0,1.0,0.0
99,324.0,13.0,21.0,1.0,1.0,0.0
100,343.0,6.0,19.0,0.0,0.31,1.0
101,350.0,6.0,20.0,0.0,0.31,1.0
102,354.0,6.0,20.0,0.0,0.31,1.0
103,355.0,6.0,20.0,0.0,0.31,1.0
104,390.0,6.0,20.0,0.0,0.31,1.0
105,392.0,6.0,19.0,0.0,0.31,1.0
106,393.0,6.0,19.0,0.0,0.31,1.0
107,397.0,6.0,20.0,0.0,0.31,1.0
108,403.0,6.0,21.0,0.0,0.31,1.0
109,412.0,6.0,19.0,0.0,0.31,1.0
110,426.0,6.0,20.0,0.0,0.31,1.0
