,0,1,2
0,0.0,0.0,0.0
1,790.0,0.0,12.0
2,792.0,0.0,11.0
3,793.0,0.0,10.0
4,794.0,0.0,11.0
5,795.0,0.0,9.0
6,804.0,0.0,9.0
7,806.0,0.0,12.0
8,812.0,0.0,10.0
9,813.0,0.0,9.0
10,816.0,0.0,11.0
11,819.0,0.0,9.0
12,821.0,0.0,8.0
13,826.0,0.0,11.0
14,829.0,0.0,12.0
15,831.0,0.0,11.0
16,837.0,0.0,9.0
17,838.0,0.0,7.0
18,840.0,0.0,10.0
19,842.0,0.0,9.0
20,844.0,0.0,12.0
21,845.0,0.0,11.0
22,863.0,0.0,12.0
23,866.0,0.0,11.0
24,869.0,0.0,11.0
25,872.0,0.0,11.0
26,873.0,0.0,9.0
27,878.0,0.0,9.0
28,881.0,0.0,9.0
29,883.0,0.0,10.0
30,886.0,0.0,10.0
31,891.0,0.0,10.0
32,893.0,0.0,12.0
33,895.0,0.0,10.0
34,900.0,0.0,9.0
35,909.0,0.0,11.0
36,910.0,0.0,10.0
37,913.0,0.0,8.0
38,922.0,0.0,8.0
39,938.0,0.0,11.0
40,947.0,0.0,11.0
41,948.0,0.0,11.0
42,955.0,0.0,9.0
43,959.0,0.0,11.0
44,961.0,0.0,11.0
45,969.0,0.0,8.0
46,977.0,0.0,11.0
47,981.0,0.0,10.0
48,983.0,0.0,11.0
49,984.0,0.0,10.0
50,985.0,0.0,10.0
51,986.0,0.0,11.0
52,988.0,0.0,11.0
53,989.0,0.0,11.0
54,994.0,0.0,11.0
55,998.0,0.0,10.0
56,1002.0,0.0,11.0
57,1005.0,0.0,11.0
58,1006.0,0.0,9.0
59,1008.0,0.0,10.0
60,1017.0,0.0,9.0
61,1018.0,0.0,11.0
62,1020.0,0.0,9.0
63,1022.0,0.0,8.0
64,1023.0,0.0,9.0
65,1029.0,0.0,10.0
66,1032.0,0.0,11.0
67,1037.0,0.0,10.0
68,1038.0,0.0,8.0
69,1041.0,0.0,9.0
70,1043.0,0.0,11.0
71,1047.0,0.0,11.0
72,1048.0,0.0,9.0
73,1049.0,0.0,9.0
74,1054.0,0.0,10.0
75,1058.0,0.0,8.0
76,1062.0,0.0,10.0
77,1063.0,0.0,10.0
78,1065.0,0.0,10.0
79,1068.0,0.0,10.0
80,1076.0,0.0,10.0
81,1080.0,0.0,9.0
82,1084.0,0.0,9.0
83,1088.0,0.0,9.0
84,1091.0,0.0,9.0
85,1092.0,0.0,11.0
86,1094.0,0.0,11.0
87,1095.0,0.0,9.0
88,1096.0,0.0,9.0
89,1098.0,0.0,11.0
90,1100.0,0.0,10.0
91,1102.0,0.0,11.0
92,1106.0,0.0,11.0
93,1108.0,0.0,9.0
94,1109.0,0.0,11.0
95,1111.0,0.0,10.0
96,1113.0,0.0,11.0
97,1115.0,0.0,10.0
98,1120.0,0.0,10.0
99,1121.0,0.0,10.0
100,1123.0,0.0,11.0
101,1124.0,0.0,11.0
102,1125.0,0.0,11.0
103,1126.0,0.0,10.0
104,1128.0,0.0,11.0
105,1132.0,0.0,10.0
106,1134.0,0.0,10.0
107,1136.0,0.0,8.0
108,1137.0,0.0,10.0
109,1143.0,0.0,10.0
110,1146.0,0.0,10.0
111,1147.0,0.0,10.0
112,1152.0,0.0,8.0
113,1153.0,0.0,9.0
114,1159.0,0.0,10.0
115,1160.0,0.0,11.0
116,1161.0,0.0,10.0
117,1164.0,0.0,9.0
118,1167.0,0.0,10.0
119,1171.0,0.0,10.0
120,1172.0,0.0,11.0
121,1176.0,0.0,10.0
122,1177.0,0.0,9.0
123,1179.0,0.0,11.0
124,1181.0,0.0,9.0
125,1183.0,0.0,11.0
126,1185.0,0.0,10.0
127,1188.0,0.0,8.0
128,1190.0,0.0,11.0
129,1192.0,0.0,9.0
130,1195.0,0.0,11.0
131,1198.0,0.0,11.0
132,1203.0,0.0,10.0
133,1205.0,0.0,7.0
134,1206.0,0.0,9.0
135,1209.0,0.0,9.0
136,1210.0,0.0,11.0
137,1218.0,0.0,9.0
138,1223.0,0.0,9.0
139,1224.0,0.0,10.0
140,1238.0,0.0,11.0
141,1240.0,0.0,9.0
142,1245.0,0.0,11.0
143,1249.0,0.0,10.0
144,1256.0,0.0,11.0
145,1260.0,0.0,11.0
146,1261.0,0.0,9.0
147,1264.0,0.0,10.0
148,1267.0,0.0,10.0
149,1271.0,0.0,10.0
150,1277.0,0.0,11.0
151,1278.0,0.0,10.0
152,1279.0,0.0,9.0
153,1282.0,0.0,10.0
154,1283.0,0.0,11.0
155,1285.0,0.0,9.0
156,1286.0,0.0,9.0
157,1287.0,0.0,11.0
158,1289.0,0.0,11.0
159,1295.0,0.0,11.0
160,1299.0,0.0,10.0
161,1300.0,0.0,10.0
162,1301.0,0.0,10.0
163,1308.0,0.0,11.0
164,1309.0,0.0,10.0
165,1310.0,0.0,11.0
166,1314.0,0.0,12.0
167,1317.0,0.0,10.0
168,1319.0,0.0,9.0
169,1324.0,0.0,10.0
170,1330.0,0.0,9.0
171,1331.0,0.0,8.0
172,1334.0,0.0,10.0
173,1335.0,0.0,12.0
174,1340.0,0.0,10.0
175,1341.0,0.0,11.0
176,1343.0,0.0,9.0
177,1344.0,0.0,10.0
178,1346.0,0.0,8.0
179,1350.0,0.0,8.0
180,1352.0,0.0,10.0
181,1354.0,0.0,9.0
182,1355.0,0.0,11.0
183,1362.0,0.0,9.0
184,1363.0,0.0,9.0
185,1365.0,0.0,10.0
186,1366.0,0.0,10.0
187,1369.0,0.0,8.0
188,1377.0,0.0,10.0
189,1384.0,0.0,11.0
190,1387.0,0.0,9.0
191,1388.0,0.0,10.0
192,1392.0,0.0,11.0
193,1394.0,0.0,12.0
194,1399.0,0.0,9.0
195,1402.0,0.0,10.0
196,1404.0,0.0,11.0
197,1405.0,0.0,10.0
198,1410.0,0.0,11.0
199,1411.0,0.0,12.0
200,1413.0,0.0,10.0
201,1414.0,0.0,9.0
202,1416.0,0.0,8.0
203,1418.0,0.0,10.0
204,1425.0,0.0,11.0
205,1435.0,0.0,10.0
206,1436.0,0.0,10.0
207,1438.0,0.0,10.0
208,1442.0,0.0,9.0
209,1446.0,0.0,9.0
210,1447.0,0.0,10.0
211,1448.0,0.0,10.0
212,1451.0,0.0,10.0
213,1452.0,0.0,11.0
214,1454.0,0.0,10.0
215,1457.0,0.0,11.0
216,1459.0,0.0,10.0
217,1460.0,0.0,10.0
218,1462.0,0.0,10.0
219,1463.0,0.0,10.0
220,1464.0,0.0,9.0
221,1466.0,0.0,9.0
222,1470.0,0.0,11.0
223,1479.0,0.0,12.0
224,1480.0,0.0,11.0
225,1481.0,0.0,9.0
226,1482.0,0.0,10.0
227,1486.0,0.0,8.0
228,1487.0,0.0,10.0
229,1490.0,0.0,10.0
230,1491.0,0.0,11.0
231,1492.0,0.0,11.0
232,1494.0,0.0,10.0
233,1495.0,0.0,11.0
234,1496.0,0.0,9.0
235,1497.0,0.0,11.0
236,1499.0,0.0,8.0
237,1501.0,0.0,11.0
238,1505.0,0.0,9.0
239,1509.0,0.0,9.0
240,1511.0,0.0,10.0
